geo,year,efficiency_index,measures
ACT,2019,0.3572376581366324,10
ACT,2020,0.4574022585278418,10
ACT,2021,0.34092976187654855,10
ACT,2022,0.39959962305591484,10
ACT,2023,0.3578718124382082,10
NSW,2019,0.37863427797448285,10
NSW,2020,0.6595854014965706,10
NSW,2021,0.4524023712897446,10
NSW,2022,0.5273722648048239,10
NSW,2023,0.5807271890158828,10
NT,2019,0.6239097915724822,10
NT,2020,0.49100483431925956,10
NT,2021,0.5674837821286347,10
NT,2022,0.5906742775890919,10
NT,2023,0.5351035505220115,10
QLD,2019,0.5223750467862889,10
QLD,2020,0.5908710896721134,10
QLD,2021,0.6558269190100563,10
QLD,2022,0.6080297781937498,10
QLD,2023,0.5030750275301404,10
SA,2019,0.6019057041123389,10
SA,2020,0.6826490443591687,10
SA,2021,0.6316316507012306,10
SA,2022,0.6266226748193809,10
SA,2023,0.6490581521292517,10
TAS,2019,0.5131686406183636,10
TAS,2020,0.5455423659481397,10
TAS,2021,0.5322078725633489,10
TAS,2022,0.4259055611832541,10
TAS,2023,0.467217275096905,10
VIC,2019,0.6380115108121838,10
VIC,2020,0.4775294851835854,10
VIC,2021,0.5540768224706891,10
VIC,2022,0.5818051886949877,10
VIC,2023,0.5802988797884986,10
WA,2019,0.44081949737532744,10
WA,2020,0.5729977625711892,10
WA,2021,0.48975846485539376,10
WA,2022,0.4609003877795749,10
WA,2023,0.5281483990352512,10
