Period,Year,Age group,Actual Price,Inflation Adjusted Price
1986-06,1986,0-15,3.6718462964,12.254788622
1986-06,1986,65+,3.2088335061,10.709483232
1986-06,1986,16-64,3.9057823804,13.035550405
1986-06,1986,Total,3.7913630515,12.653675845
1986-07,1986,Total,3.8652154478,12.90015825
1986-07,1986,65+,3.3180818372,11.074099585
1986-07,1986,16-64,3.9948229353,13.332723296
1986-07,1986,0-15,3.7017745157,12.354674067
1986-08,1986,Total,3.9774574679,13.274766041
1986-08,1986,65+,3.3590761934,11.210918266
1986-08,1986,16-64,4.1010506077,13.687258199
1986-08,1986,0-15,3.8556290896,12.868163775
1986-09,1986,65+,3.3563759719,11.201906276
1986-09,1986,Total,3.9916036672,13.321978987
1986-09,1986,16-64,4.1179868927,13.743783058
1986-09,1986,0-15,3.8555950982,12.868050329
1986-10,1986,16-64,4.1268535472,13.773375521
1986-10,1986,0-15,3.8336530214,12.794818638
1986-10,1986,65+,3.3442006059,11.161270987
1986-10,1986,Total,3.9897100516,13.315659044
1986-11,1986,Total,3.7479539527,12.508797958
1986-11,1986,65+,3.1418402741,10.485893291
1986-11,1986,0-15,3.6050337912,12.031801857
1986-11,1986,16-64,3.876839821,12.9389546
1986-12,1986,Total,3.7857670706,12.634999256
1986-12,1986,65+,3.188356434,10.641140995
1986-12,1986,16-64,3.9084986133,13.044615834
1986-12,1986,0-15,3.6656541315,12.234122269
1987-01,1987,Total,3.8383830221,11.749402776
1987-01,1987,65+,3.2194139178,9.8547202314
1987-01,1987,16-64,3.9687394962,12.148427759
1987-01,1987,0-15,3.6769551802,11.255267427
1987-02,1987,65+,3.185944966,9.7522707904
1987-02,1987,Total,3.829807288,11.723152203
1987-02,1987,0-15,3.6591834491,11.200867638
1987-02,1987,16-64,3.9664280102,12.141352233
1987-03,1987,0-15,3.7060303995,11.344267525
1987-03,1987,16-64,3.9893919128,12.211645411
1987-03,1987,65+,3.207892332,9.8194523202
1987-03,1987,Total,3.856899074,11.806080953
1987-04,1987,Total,3.8779329337,11.870466213
1987-04,1987,65+,3.2026951648,9.8035436393
1987-04,1987,16-64,4.0118860596,12.280500652
1987-04,1987,0-15,3.7530176481,11.488096868
1987-05,1987,0-15,3.7567512359,11.499525489
1987-05,1987,16-64,4.0550381501,12.412590464
1987-05,1987,65+,3.2677535924,10.00268939
1987-05,1987,Total,3.9141261345,11.98125466
1987-06,1987,Total,3.9271628964,12.02116057
1987-06,1987,65+,3.3057955375,10.119136898
1987-06,1987,16-64,4.0651033619,12.443400372
1987-06,1987,0-15,3.7750065389,11.555405506
1987-07,1987,65+,3.4697504461,10.621007672
1987-07,1987,16-64,4.1431911602,12.682429408
1987-07,1987,0-15,3.8179171483,11.686756138
1987-07,1987,Total,4.0054677373,12.26085398
1987-08,1987,0-15,4.0710703553,12.461665514
1987-08,1987,16-64,4.2591833303,13.037484836
1987-08,1987,65+,3.4629885832,10.600309412
1987-08,1987,Total,4.1470499417,12.694241252
1987-09,1987,Total,4.1516490595,12.708319286
1987-09,1987,65+,3.466127389,10.609917388
1987-09,1987,0-15,4.0529043669,12.406058891
1987-09,1987,16-64,4.2748340087,13.085392021
1987-10,1987,65+,3.4665185684,10.611114799
1987-10,1987,16-64,4.3052606507,13.178528863
1987-10,1987,0-15,4.0838829363,12.500885199
1987-10,1987,Total,4.1809754043,12.798088086
1987-11,1987,Total,4.4322052388,13.567109962
1987-11,1987,65+,3.652782355,11.181273702
1987-11,1987,16-64,4.5622855708,13.965289666
1987-11,1987,0-15,4.3438701239,13.29671359
1987-12,1987,0-15,4.4474805751,13.613868214
1987-12,1987,16-64,4.6204022396,14.14318649
1987-12,1987,Total,4.49269425,13.752268596
1987-12,1987,65+,3.6748569155,11.248844578
1988-01,1988,Total,4.6579588881,13.612544783
1988-01,1988,65+,3.773971262,11.029155484
1988-01,1988,16-64,4.7840237542,13.980960151
1988-01,1988,0-15,4.6152448138,13.487716019
1988-02,1988,Total,4.5393233438,13.265841066
1988-02,1988,0-15,4.3901795053,12.829979087
1988-02,1988,16-64,4.6853390813,13.692561399
1988-02,1988,65+,3.7670658271,11.008974855
1988-03,1988,Total,4.5596618846,13.325278967
1988-03,1988,0-15,4.4521177114,13.010988972
1988-03,1988,16-64,4.7112297184,13.768224896
1988-03,1988,65+,3.672918978,10.733837562
1988-04,1988,16-64,4.8385750183,14.140382237
1988-04,1988,65+,3.7677287517,11.010912203
1988-04,1988,0-15,4.6493253835,13.587313996
1988-04,1988,Total,4.6966207986,13.725531394
1988-05,1988,65+,3.7967195207,11.095635609
1988-05,1988,Total,4.6309141848,13.533508612
1988-05,1988,16-64,4.784466514,13.982254084
1988-05,1988,0-15,4.5115598334,13.184704234
1988-06,1988,Total,4.6810221899,13.679945599
1988-06,1988,65+,3.8700038096,11.309803593
1988-06,1988,16-64,4.8253050441,14.101601706
1988-06,1988,0-15,4.5742662176,13.367959064
1988-07,1988,16-64,4.9296897052,14.406658258
