Period,Year,Age group,Actual Price,Inflation Adjusted Price
1987-05,1987,0-15,3.756751236,11.49952549
1987-05,1987,16-64,4.05503815,12.41259046
1987-05,1987,65+,3.267753592,10.00268939
1987-06,1987,65+,3.305795538,10.1191369
1987-06,1987,16-64,4.065103362,12.44340037
1987-06,1987,0-15,3.775006539,11.55540551
1987-07,1987,65+,3.469750446,10.62100767
1987-07,1987,16-64,4.14319116,12.68242941
1987-07,1987,0-15,3.817917148,11.68675614
1987-08,1987,0-15,4.071070355,12.46166551
1987-08,1987,16-64,4.25918333,13.03748484
1987-08,1987,65+,3.462988583,10.60030941
1987-09,1987,65+,3.466127389,10.60991739
1987-09,1987,0-15,4.052904367,12.40605889
1987-09,1987,16-64,4.274834009,13.08539202
1987-10,1987,65+,3.466518568,10.6111148
1987-10,1987,16-64,4.305260651,13.17852886
1987-10,1987,0-15,4.083882936,12.5008852
1987-11,1987,65+,3.652782355,11.1812737
1987-11,1987,16-64,4.562285571,13.96528967
1987-11,1987,0-15,4.343870124,13.29671359
1987-12,1987,0-15,4.447480575,13.61386821
1987-12,1987,16-64,4.62040224,14.14318649
1987-12,1987,65+,3.674856916,11.24884458
1988-01,1988,65+,3.773971262,11.02915548
1988-01,1988,16-64,4.784023754,13.98096015
1988-01,1988,0-15,4.615244814,13.48771602
1988-02,1988,0-15,4.390179505,12.82997909
1988-02,1988,16-64,4.685339081,13.6925614
1988-02,1988,65+,3.767065827,11.00897486
1988-03,1988,0-15,4.452117711,13.01098897
1988-03,1988,16-64,4.711229718,13.7682249
1988-03,1988,65+,3.672918978,10.73383756
1988-04,1988,16-64,4.838575018,14.14038224
1988-04,1988,65+,3.767728752,11.0109122
1988-04,1988,0-15,4.649325384,13.587314
1988-05,1988,65+,3.796719521,11.09563561
1988-05,1988,16-64,4.784466514,13.98225408
1988-05,1988,0-15,4.511559833,13.18470423
1988-06,1988,65+,3.87000381,11.30980359
1988-06,1988,16-64,4.825305044,14.10160171
1988-06,1988,0-15,4.574266218,13.36795906
1988-07,1988,16-64,4.929689705,14.40665826
1988-07,1988,0-15,4.62536599,13.51729442
1988-07,1988,65+,3.99585943,11.67760746
1988-08,1988,16-64,4.874039176,14.24402365
1988-08,1988,0-15,4.515488046,13.19618415
1988-08,1988,65+,3.929492153,11.48365393
1988-09,1988,0-15,4.61109096,13.47557668
1988-09,1988,16-64,4.942812171,14.44500771
1988-09,1988,65+,3.984083107,11.64319201
1988-10,1988,65+,3.979393442,11.62948681
1988-10,1988,0-15,4.687958186,13.70021554
1988-10,1988,16-64,4.983836074,14.56489707
1988-11,1988,0-15,4.931975006,14.41333688
1988-11,1988,16-64,5.302518482,15.49622314
1988-11,1988,65+,4.264609631,12.4630103
1988-12,1988,65+,4.356321541,12.73103166
1988-12,1988,16-64,5.456078987,15.9449925
1988-12,1988,0-15,5.155292252,15.06596523
1989-01,1989,0-15,5.2686325,14.01203816
1989-01,1989,16-64,5.58758199,14.86029099
1989-01,1989,65+,4.456652073,11.85255926
1989-02,1989,0-15,5.160401589,13.72419579
1989-02,1989,16-64,5.560899352,14.78932796
1989-02,1989,65+,4.401449775,11.7057476
1989-03,1989,65+,4.433877677,11.79199028
1989-03,1989,16-64,5.646140041,15.01602735
1989-03,1989,0-15,5.311891367,14.12708602
1989-04,1989,0-15,5.317614827,14.14230768
1989-04,1989,16-64,5.686344915,15.12295305
1989-04,1989,65+,4.442296954,11.81438152
1989-05,1989,65+,4.509556133,11.99325871
1989-05,1989,16-64,5.685349715,15.1203063
1989-05,1989,0-15,5.252247332,13.96846147
1989-06,1989,65+,4.630126324,12.31391765
1989-06,1989,16-64,5.70333391,15.16813564
1989-06,1989,0-15,5.27228123,14.02174203
1989-07,1989,16-64,5.85298423,15.56613379
1989-07,1989,65+,4.894933099,13.0181768
1989-07,1989,0-15,5.375974092,14.29751537
1989-08,1989,16-64,6.035574456,16.05173631
1989-08,1989,65+,5.013572673,13.33370122
1989-08,1989,0-15,5.535304345,14.7212575
1989-09,1989,65+,4.850713385,12.90057355
1989-09,1989,16-64,5.982850688,15.91151635
1989-09,1989,0-15,5.531389702,14.71084643
1989-10,1989,65+,4.844338834,12.88362029
1989-10,1989,16-64,6.068938991,16.14046999
1989-10,1989,0-15,5.627509031,14.96647779
1989-11,1989,65+,4.97079542,13.21993423
1989-11,1989,16-64,6.247280035,16.61477172
1989-11,1989,0-15,5.780485305,15.37332139
1989-12,1989,0-15,6.118159065,16.2713718
1989-12,1989,16-64,6.485218626,17.24757437
1989-12,1989,65+,5.118818629,13.61360504
1990-01,1990,65+,5.107519526,12.57877704
1990-01,1990,16-64,6.501032854,16.01071565
1990-01,1990,0-15,5.985324956,14.74063246
1990-02,1990,0-15,5.950101843,14.65388513
1990-02,1990,16-64,6.493157732,15.99132083
1990-02,1990,65+,5.050032333,12.43719783
1990-03,1990,0-15,5.977474481,14.72129835
1990-03,1990,16-64,6.455462885,15.89848613
1990-03,1990,65+,5.01777122,12.3577453
1990-04,1990,16-64,6.550105705,16.13157205
1990-04,1990,65+,5.043133974,12.42020858
1990-04,1990,0-15,6.133147818,15.10468997
1990-05,1990,16-64,6.518918107,16.05476337
1990-05,1990,65+,5.102218496,12.56572169
1990-05,1990,0-15,6.020187009,14.82649058
1990-06,1990,65+,5.224802182,12.86762026
1990-06,1990,16-64,6.589102794,16.22761392
1990-06,1990,0-15,6.091831241,15.00293568
1990-07,1990,0-15,6.096981028,15.01561856
1990-07,1990,16-64,6.668218168,16.42245892
1990-07,1990,65+,5.33163945,13.13073862
1990-08,1990,0-15,6.067105181,14.94204045
1990-08,1990,65+,5.36909136,13.22297502
1990-08,1990,16-64,6.697417081,16.49436988
1990-09,1990,16-64,6.811756186,16.77596373
1990-09,1990,65+,5.446458589,13.4135147
1990-09,1990,0-15,6.2387258,15.36470697
1990-10,1990,0-15,6.14294913,15.1288286
1990-10,1990,16-64,6.797570863,16.74102818
1990-10,1990,65+,5.349184172,13.17394769
1990-11,1990,0-15,6.393607663,15.74614935
1990-11,1990,65+,5.544720138,13.65551282
1990-11,1990,16-64,7.055356511,17.37590156
1990-12,1990,16-64,7.115791454,17.52474048
1990-12,1990,65+,5.548174513,13.66402024
1990-12,1990,0-15,6.54367549,16.11573575
1991-01,1991,0-15,6.418284187,15.35935338
1991-01,1991,16-64,7.103384658,16.99884143
1991-01,1991,65+,5.496400622,13.15322865
1991-02,1991,0-15,6.410189374,15.33998199
1991-02,1991,16-64,7.090374436,16.96770716
1991-02,1991,65+,5.422952511,12.97746275
1991-03,1991,65+,5.420417617,12.9713966
1991-03,1991,16-64,7.116367795,17.02991089
1991-03,1991,0-15,6.457916326,15.45419556
1991-04,1991,0-15,6.382126765,15.27282642
1991-04,1991,16-64,7.037234406,16.84053976
1991-04,1991,65+,5.330917867,12.75721813
1991-05,1991,65+,5.477721995,13.10852954
1991-05,1991,16-64,7.071489359,16.922514
1991-05,1991,0-15,6.411672408,15.34353098
1991-06,1991,0-15,6.450247226,15.43584292
1991-06,1991,16-64,7.107773041,17.00934311
1991-06,1991,65+,5.493820377,13.14705397
1991-07,1991,65+,5.56757828,13.32356122
